"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"old_male",92500,0.0850113501640489,"single","inter",300,"Greece",2001,"SEU","EU"
"old_male",529630,0.486752014998759,"one gen","inter",300,"Greece",2001,"SEU","EU"
"old_male",361140,0.331902691872915,"two gen","inter",300,"Greece",2001,"SEU","EU"
"old_male",95710,0.0879614737751472,"three+ gen","inter",300,"Greece",2001,"SEU","EU"
"old_male",9110,0.00837246918912958,"skipped","inter",300,"Greece",2001,"SEU","EU"
"total",728530,0.0708077878555794,"single","inter",300,"Greece",2001,"SEU","EU"
"total",1924450,0.187042465428561,"one gen","inter",300,"Greece",2001,"SEU","EU"
"total",6445850,0.626489477919766,"two gen","inter",300,"Greece",2001,"SEU","EU"
"total",1125020,0.109343716104051,"three+ gen","inter",300,"Greece",2001,"SEU","EU"
"total",64990,0.00631655269204303,"skipped","inter",300,"Greece",2001,"SEU","EU"
"young_female",168270,0.0427936004150422,"single","inter",300,"Greece",2001,"SEU","EU"
"young_female",480330,0.122155167809813,"one gen","inter",300,"Greece",2001,"SEU","EU"
"young_female",2827400,0.719050489175078,"two gen","inter",300,"Greece",2001,"SEU","EU"
"young_female",435530,0.110761851719043,"three+ gen","inter",300,"Greece",2001,"SEU","EU"
"young_female",20600,0.00523889088102377,"skipped","inter",300,"Greece",2001,"SEU","EU"
"young_male",174560,0.04393436021343,"single","inter",300,"Greece",2001,"SEU","EU"
"young_male",448230,0.112813349441256,"one gen","inter",300,"Greece",2001,"SEU","EU"
"young_male",2906460,0.731516158260344,"two gen","inter",300,"Greece",2001,"SEU","EU"
"young_male",423600,0.106614315916641,"three+ gen","inter",300,"Greece",2001,"SEU","EU"
"young_male",20350,0.0051218161683278,"skipped","inter",300,"Greece",2001,"SEU","EU"
"old_female",293200,0.226335860184342,"single","un",300,"Greece",2001,"SEU","EU"
"old_female",640220,0.494218091429807,"nuclear","un",300,"Greece",2001,"SEU","EU"
"old_female",52420,0.0404656404872551,"complex","un",300,"Greece",2001,"SEU","EU"
"old_female",309580,0.238980407898597,"extended","un",300,"Greece",2001,"SEU","EU"
"old_male",92500,0.0850113501640489,"single","un",300,"Greece",2001,"SEU","EU"
"old_male",789870,0.725923407071106,"nuclear","un",300,"Greece",2001,"SEU","EU"
"old_male",41130,0.0378001819702414,"complex","un",300,"Greece",2001,"SEU","EU"
"old_male",164590,0.151265060794603,"extended","un",300,"Greece",2001,"SEU","EU"
"young_female",168270,0.0427936004150422,"single","un",300,"Greece",2001,"SEU","EU"
"young_female",2938510,0.747307438970736,"nuclear","un",300,"Greece",2001,"SEU","EU"
"young_female",213650,0.0543344192587732,"complex","un",300,"Greece",2001,"SEU","EU"
"young_female",611700,0.155564541355449,"extended","un",300,"Greece",2001,"SEU","EU"
"young_male",174560,0.04393436021343,"single","un",300,"Greece",2001,"SEU","EU"
"young_male",2920170,0.734966777408638,"nuclear","un",300,"Greece",2001,"SEU","EU"
"young_male",252270,0.0634929024463908,"complex","un",300,"Greece",2001,"SEU","EU"
"young_male",626200,0.157605959931541,"extended","un",300,"Greece",2001,"SEU","EU"
"total",728530,0.0708077878555794,"single","un",300,"Greece",2001,"SEU","EU"
"total",7288770,0.708415137177758,"nuclear","un",300,"Greece",2001,"SEU","EU"
"total",559470,0.0543763922852333,"complex","un",300,"Greece",2001,"SEU","EU"
"total",1712070,0.16640068268143,"extended","un",300,"Greece",2001,"SEU","EU"
"old_female",129400,0.31750705434916,"single","inter",372,"Ireland",2011,"NEU","EU"
"old_female",144770,0.355220218378113,"one gen","inter",372,"Ireland",2011,"NEU","EU"
"old_female",112390,0.275769844190897,"two gen","inter",372,"Ireland",2011,"NEU","EU"
"old_female",17430,0.0427677585572322,"three+ gen","inter",372,"Ireland",2011,"NEU","EU"
